"group","id","time","y"
33,6,44,5
33,6,45,4
33,6,46,3
33,6,47,4
33,6,48,3
33,6,49,4
33,6,50,4
33,6,51,4
33,6,52,5
33,6,53,4
33,6,54,5
33,6,55,4
33,6,56,5
33,6,57,4
33,6,58,5
33,6,59,4
33,6,60,4
33,6,61,4
33,6,62,3
33,6,63,4
33,6,64,4
33,6,65,5
33,6,66,3
33,6,67,5
33,6,68,5
33,6,69,4
33,6,70,4
33,6,71,4
33,6,72,4
33,6,73,4
33,6,74,4
33,6,75,4
33,6,76,5
33,6,77,4
33,6,78,4
33,6,79,4
33,6,80,4
34,1,1,7
34,1,2,4
34,1,3,4
34,1,4,3
34,1,5,6
34,1,6,3
34,1,7,4
34,1,8,2
34,1,9,5
34,1,10,3
34,1,11,3
34,1,12,5
34,1,13,5
34,1,14,5
34,1,15,6
34,1,16,4
34,1,17,4
34,1,18,4
34,1,19,4
34,1,20,4
34,1,21,5
34,1,22,4
34,1,23,6
34,1,24,4
34,1,25,3
34,1,26,4
34,1,27,5
34,1,28,4
34,1,29,5
34,1,30,3
